pair_id,answer_letter,easy_qid,easy_pmax,easy_margin,easy_entropy,easy_correct,easy_question,hard_qid,hard_pmax,hard_margin,hard_entropy,hard_correct,hard_question
eh_A_000,A,sqa_test_9d6461c01ef5e4a76979b171cd5f30c6219297d9bb191f4e0959becc6e88d336,0.9999400755381729,0.9999157761572403,0.0007076175079878977,1,,sqa_test_31ae5a241cd1785239ce2a1e4f1d134e02beb96a622728f1e49f868bd49b6a68,0.3177952409322493,0.0,1.3251331312964703,0,
eh_A_001,A,sqa_test_1268491ba4c601a4db258eb69259916033dba5ae9a15e9193170a4376525adf2,0.9999291919025023,0.9998777506601435,0.0008020491092018235,1,,sqa_test_ced60b8f4fcaf949ffadb9940e2421916eda825be28397b284bd4337898bcd85,0.35875051078503645,0.0,1.1097199317604949,1,
eh_A_002,A,sqa_test_2e6ae3cb9e1b010d46c351f0f5ace3bb5251468a1afc36f420e972bc0f474906,0.999924881825123,0.9998734408414235,0.0008509790311439368,1,,sqa_test_624aada21a81cd17d9e10820306e40d6f6b491e7230400c3f7a8171431fdab8a,0.36321226752751523,0.08034226915594578,1.3272533703103733,0,
eh_A_003,A,sqa_test_fcfba6f3e0f42b43e146ca4066db9b84d049661c70cc17d09ad100738eef850a,0.999844835427881,0.999760030326064,0.0016639467360512745,1,,sqa_test_cc72d96018a342afb27447bee83bcc7f1b6f985d37c52e87a037591038d3b5f3,0.3742744305879218,0.08278921096244413,1.3031810204040148,0,
eh_A_004,A,sqa_test_bf5b6f1faa6c49f7789db9e61eb6e1cf1f33bda546989a8a6fcff68c62b06ca5,0.9998311312593616,0.9996913132179154,0.0017320246792198635,1,,sqa_test_d874e4c95171a45e7dac70c47dbf43f9d9d52e1ebbeb382a23d50ccdf88ff2e2,0.3995901941374491,0.0,1.1011135858611727,0,
eh_B_000,B,sqa_test_9a2eea65cb48b8e7ce6532236545e7ce3d5d0d48762fc6aba5a53299f6915b86,0.9999788209739796,0.9999658139487022,0.0002666680116087634,1,,sqa_test_a942059e84524ae79db7f26dc77a36199511bf8a5c59e048202ddf78d7d3eae6,0.37551622346134694,0.08306389457363328,1.214732785415387,0,
eh_B_001,B,sqa_test_d370c9537bcdee79fa11c26172e4a520a2fda9bfd0f4169c6328f547b71fcd8c,0.9999771361343607,0.9999681965614647,0.00029213763552835947,0,,sqa_test_3f5d0ac03f186f3c528162f208950ad453ec97cc438366e5b8d98c54ab344ce5,0.3833677282094581,0.08480065907161122,1.2779758996926442,1,
eh_C_000,C,sqa_test_39ab62c588f4a7721eaab3dc5915ebaf1c1c3c51ebc0267adf6e49810d40c274,0.9999669892167387,0.9999455445137737,0.00040301260334589235,1,,sqa_test_3863fd8f7f1fe96b8b9069c05fae19be2a78dbba36852f331f61bfd687f4f231,0.3307405754252124,0.0,1.1355894964893485,0,
eh_C_001,C,sqa_test_8e12cf0b4ea504403976485e99f13f469492029ac64dec21a92f2b014ba5e183,0.9999538220276746,0.9999371210961068,0.0005578213586276605,0,,sqa_test_f3ca3390a122d11dc0ee020f20f7d0cdae0fd38186defaae8d286f97f8d5e19d,0.35339924926028154,0.0,1.2656116252565313,0,
eh_C_002,C,sqa_test_28cbd1317841e2a14443359a117b343154b9735b3eac075af187bb39c426c338,0.9998890693223587,0.9998307811107985,0.0012334535896303556,1,,sqa_test_a6d6b1b5d1de8edfc4fbba475c6580c0c38faacd2b72d0d4b7cc7edd29180e6f,0.37790888922806576,0.0,1.2219095303080851,0,
eh_C_003,C,sqa_test_43f95fc386239e9e1ba7b69e73c8b76a3dad3f21388e8fc2e192a19e10d73dac,0.9998445782731156,0.9997484815283019,0.0016449530337772841,0,,sqa_test_81729dbbe1eeaa584e2894111ff27fa56abd30d18de4f671edce93d6d7ebca59,0.3942759935521475,0.0,1.1397005753222342,1,
eh_D_000,D,sqa_test_bc31e54fccd7f835ec78a6bfd9c0986f1aae467752117e4b2e89e401283056be,0.9999821827893419,0.9999720528822678,0.00022993190779283044,1,,sqa_test_839890a3ba566db390915cb1ddedfb82ca702686426899f38fc856a23681133f,0.3262317524520493,0.0,1.3004983388304918,0,
eh_D_001,D,sqa_test_90bf23b790a733cdab2590d78005733f9a8ff4c4b48f9aea8b61e0f15804eef0,0.9998043692231717,0.9997082763886361,0.0020434654228166033,0,,sqa_test_837feb2ab9ab51289e53c678fe2b97e32c811db920ccf6195fd46ae959376d49,0.3520821671351559,0.0,1.2981483668772407,0,
